timestamp, memory.used [MiB]
2026/05/29 03:46:25.303, 2213 MiB
2026/05/29 03:46:26.303, 5935 MiB
2026/05/29 03:46:27.303, 5935 MiB
2026/05/29 03:46:28.303, 5935 MiB
2026/05/29 03:46:29.304, 5935 MiB
2026/05/29 03:46:30.304, 5944 MiB
2026/05/29 03:46:31.304, 5944 MiB
2026/05/29 03:46:32.305, 5944 MiB
2026/05/29 03:46:33.305, 5936 MiB
2026/05/29 03:46:34.305, 5616 MiB
2026/05/29 03:46:35.305, 5944 MiB
2026/05/29 03:46:36.306, 5944 MiB
2026/05/29 03:46:37.306, 3524 MiB
2026/05/29 03:46:38.306, 5936 MiB
2026/05/29 03:46:39.306, 4336 MiB
2026/05/29 03:46:40.307, 5944 MiB
2026/05/29 03:46:41.307, 5944 MiB
2026/05/29 03:46:42.307, 2222 MiB
2026/05/29 03:46:43.308, 5936 MiB
2026/05/29 03:46:44.308, 2214 MiB
2026/05/29 03:46:45.309, 5936 MiB
2026/05/29 03:46:46.309, 5936 MiB
2026/05/29 03:46:47.309, 3596 MiB
2026/05/29 03:46:48.310, 5936 MiB
2026/05/29 03:46:49.310, 5936 MiB
2026/05/29 03:46:50.311, 5936 MiB
2026/05/29 03:46:51.311, 5936 MiB
2026/05/29 03:46:52.311, 5936 MiB
2026/05/29 03:46:53.311, 5936 MiB
2026/05/29 03:46:54.312, 4116 MiB
2026/05/29 03:46:55.312, 5944 MiB
2026/05/29 03:46:56.312, 5944 MiB
2026/05/29 03:46:57.313, 2222 MiB
2026/05/29 03:46:58.313, 5936 MiB
2026/05/29 03:46:59.313, 5936 MiB
2026/05/29 03:47:00.314, 5944 MiB
2026/05/29 03:47:01.314, 5944 MiB
2026/05/29 03:47:02.314, 5944 MiB
2026/05/29 03:47:03.314, 5115 MiB
2026/05/29 03:47:04.315, 5936 MiB
2026/05/29 03:47:05.315, 2545 MiB
2026/05/29 03:47:06.315, 5945 MiB
2026/05/29 03:47:07.316, 2223 MiB
2026/05/29 03:47:08.316, 5935 MiB
2026/05/29 03:47:09.316, 5935 MiB
2026/05/29 03:47:10.316, 2507 MiB
2026/05/29 03:47:11.317, 5947 MiB
2026/05/29 03:47:12.317, 5947 MiB
2026/05/29 03:47:13.318, 5938 MiB
2026/05/29 03:47:14.318, 5939 MiB
2026/05/29 03:47:15.318, 5935 MiB
2026/05/29 03:47:16.328, 2222 MiB
2026/05/29 03:47:17.328, 5944 MiB
2026/05/29 03:47:18.328, 5944 MiB
2026/05/29 03:47:19.329, 2496 MiB
2026/05/29 03:47:20.329, 5936 MiB
2026/05/29 03:47:21.330, 5944 MiB
2026/05/29 03:47:22.330, 5944 MiB
2026/05/29 03:47:23.330, 5944 MiB
2026/05/29 03:47:24.332, 5935 MiB
2026/05/29 03:47:25.332, 5936 MiB
2026/05/29 03:47:26.341, 5944 MiB
2026/05/29 03:47:27.342, 5944 MiB
2026/05/29 03:47:28.342, 5944 MiB
2026/05/29 03:47:29.342, 5935 MiB
2026/05/29 03:47:30.343, 5936 MiB
2026/05/29 03:47:31.343, 5947 MiB
2026/05/29 03:47:32.344, 5867 MiB
2026/05/29 03:47:33.344, 5947 MiB
